Source text	Invention	Link
3.3 – 2.6 Mya: Stone tools - found in modern-day Kenya only found on the archetype road. Ancient stone tools from Ethiopia (Oldowan) were hand-crafted by Australopithecus or related people.	Stone tools	/wiki/Stone_tool
"2.3 Mya: Earliest likely control of fire and cooking, by Homo habilis"	fire and cooking	/wiki/Control_of_fire_by_early_humans
1.76 Mya: Advanced (Acheulean) stone tools in Kenya by Homo erectus	Advanced (Acheulean) stone tools	/wiki/Acheulean
1.75 – 150 kya: Varying estimates for the origin of language	language	/wiki/Origin_of_language
1.5 Mya: Bone tools in Africa by Homo erectus	Bone tools	/wiki/Bone_tool
900 – 40 kya: Boats	Boats	/wiki/Boat
500 kya: Hafting in South Africa by Homo heidelbergensis	Hafting	/wiki/Hafting
"500 – 450 kya: Woodworking construction in Zambia by Homo heidelbergensis (The oldest known surviving buildings are made from stone and date back no more than 9,500 years.)"	Woodworking construction	/wiki/Woodworking
"420 – 200 kya: Food storage in the form of uncracked bones saved for their marrow in Qesem cave, Israel."	Food storage	/wiki/Food_storage
400 kya: Pigments in Zambia by Homo heidelbergensis	Pigments	/wiki/Pigment
400 – 300 kya: Spears in Germany likely by Homo heidelbergensis	Spears	/wiki/Spear
"320 kya: The trade and long-distance transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya"	Trade of resources	/wiki/Trade
"200 kya: Simple glue (adhesive) made of one kind of material, birch tar, in Central Italy by Neanderthals."	Glue	/wiki/Adhesive
200 kya: Beds in South Africa.	Beds	/wiki/Bed
"170 – 90 kya: Clothing, among anatomically modern humans in Africa. Genetic evidence from body lice suggests a range of dates centering over 100 thousand years ago. The first bone scrapers appropriate for scraping hides to make supple leather were found in Morocco dating to 90–120,000 years ago."	Clothing	/wiki/History_of_clothing_and_textiles
135 – 100 kya: Beads in Israel and Algeria	Beads	/wiki/Bead
100 kya: Compound paints made in South Africa	Compound paints	/wiki/Paint
100 kya: Funerals (in the form of burial) in Israel	Funerals	/wiki/Burial
90 kya: Harpoons in the Democratic Republic of the Congo.	Harpoons	/wiki/Harpoon
70 – 60 kya: in Sibudu Cave in South Africa by Homo sapiens: Arrows and other evidence of bow-and-arrow technology	Bow-and-arrow technology	/wiki/Arrow
70 – 60 kya: in Sibudu Cave in South Africa by Homo sapiens: Sewing needle	Sewing needle	/wiki/Sewing_needle
61 – 62 kya: Cave painting in Spain by Neanderthal	Cave painting	/wiki/Cave_painting
55.8 – 51.2 kya: Representational and Narrative art in Indonesia by Homo sapiens	Representational and Narrative art	/wiki/Representation_(arts
"49 – 30 kya: Ground stone tools – fragments of an axe in Australia date to 49–45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic."	Ground stone tools	/wiki/Ground_stone
"47 kya: The oldest-known mines in the world are from Eswatini, and extracted hematite for the production of the red pigment ochre."	Mines	/wiki/Mining
"45 – 9 kya: Earliest evidence of shoes, suggested by changes in foot bone morphology in China by Tianyuan man. The earliest physical shoes found so far are bark sandals dated to 10 to 9 kya in Fort Rock Cave, United States. The oldest known leather shoe dated to 5.5 kya was found in excellent condition in the Areni-1 cave located in the Vayots Dzor province of Armenia. "	Shoes	/wiki/Shoe
44 – 42 kya: Tally sticks (see Lebombo bone) in Eswatini	Tally sticks	/wiki/Tally_stick
42 kya: Flute in Germany	Flute	/wiki/Flute
37 kya: Mortar and pestle in Southwest Asia	Mortar and pestle	/wiki/Mortar_and_pestle
"32 - 28 kya: Rope and Cords for ""hafting stone tools, weaving baskets, or sewing garments,"" according to Elis Kvavadze et al."	Rope and cords	/wiki/Rope
"31 kya: Amputation and surgery. Medicine in a meaningful sense likely predates the human-chimpanzee split, as, for example, herbal medicine has been observed in other primates."	Amputation and surgery	/wiki/Amputation
"28 kya: Ceramics (direct evidence) and weaving (impressions left in the ceramics) in Moravia (Czech Republic) and Georgia. (The oldest piece of woven cloth found so far was in Çatalhöyük, Turkey and dated to about 9,000 years ago.)"	Ceramics	/wiki/Ceramics
24 kya: Oldest known ceramic sculpture	Ceramic sculpture	/wiki/Venus_of_Doln%C3%AD_V%C4%9Bstonice
23 kya: Domestication of the dog in Siberia.	Domestication of the dog	/wiki/Domestication_of_the_dog
22 – 17 kya: Bullroarer	Bullroarer	/wiki/Bullroarer
"22 kya: Fish hook in Okinawa Island, modern day Japan."	Fish hook	/wiki/Fish_hook
"21 – 3.7 kya: Star chart in France, and later Spain, Kashmir, Germany, and Egypt."	Star chart	/wiki/Star_chart
"17.5 kya: Spear-thrower (atlatl), found in France."	Spear-thrower	/wiki/Spear-thrower
16 kya: Pottery in China	Pottery	/wiki/Pottery
14.5 kya: Bread in Jordan	Bread	/wiki/Bread
"12 kya: Spindle whorl, also the oldest wheel-like tool, at Nahal Ein Gev II (Israel)"	Spindle whorl	
"10,000 BC – 9000 BC: Agriculture in the Fertile Crescent"	Agriculture	
"10,000 BC – 9000 BC: Domestication of sheep in Southwest Asia (followed shortly by pigs, goats and cattle)"	Domestication of the sheep	
"9500 BC – 9000 BC: Oldest known surviving building – Göbekli Tepe, in Turkey"	Oldest known surviving building	/wiki/List_of_oldest_extant_buildings
9000 BC – 6000 BC: Domestication of rice in China	Domestication of rice	
"9000 BC: Mudbricks (unfired bricks), and clay mortar in Jericho."	Mudbricks	/wiki/Mudbrick
8400 BC: Oldest known water well in Cyprus.	Water well	/wiki/Well
"8000 BC – 7500 BC: Proto-city – large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük, Turkey."	Proto-city	
"7000 BC: Alcohol fermentation – specifically mead, in China"	Alcohol fermentation	/wiki/Ethanol_fermentation
"7000 BC: Sled dog and Dog sled, in Siberia."	Sled dog	
"7000 BC – 3300 BC: Tanned leather in Mehrgarh, Pakistan."	Tanned leather	/wiki/Tanning_(leather)
"6500 BC: Evidence of lead smelting in Çatalhöyük, Turkey"	Lead smelting	
6000 BC: Kiln in Mesopotamia (Iraq)	Kiln	
"6000 - 5000 BC: Irrigation in Khuzistan, Iran"	Irrigation	
"6000 BC – 3200 BC: Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan."	Proto-writing	
"5900 – 5600 BC: Oldest evidence of salt production found in Southeastern Europe, in the countries of Moldova and Romania."	Salt production	
"5500 – 5200 BC: Oldest evidence of cheese found, in Poland and on the Dalmatian coast of Croatia."	Cheese	
"5500 BC: Sailing - pottery depictions of sail boats, in Mesopotamia, and later ancient Egypt"	Sailing	
5000 BC: Copper smelting in Serbia.	Copper smelting	/wiki/Smelting#Copper_and_bronze
5000 BC: Seawall in Tel Hreiz.	Seawall	
5000 - 4000 BC: Lacquer in China	Lacquer	
"5000 BC: Cotton thread, in Mehrgarh, Pakistan, connecting the copper beads of a bracelet."	Cotton thread	/wiki/Cotton
5000 BC – 4500 BC: Rowing oars in China	Oar	
4500 BC – 3500 BC: Lost-wax casting in Israel or the Indus Valley	Lost-wax casting	
4400 BC: Fired bricks in China.	Fired brick	
"4000 BC: Paved roads, in and around the Mesopotamian city of Ur, Iraq."	Paved roads	/wiki/Roads
"4000 BC: Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia."	Plumbing	
"4000 BC: Oldest evidence of locks, the earliest example discovered in the ruins of Nineveh, the capital of ancient Assyria."	Locks	/wiki/Lock_and_key
"4000 BC – 3400 BC: Oldest evidence of wheels, found in the countries of Ukraine, Poland, and Germany."	Wheel	
3630 BC: Silk garments (sericulture) in China	Silk garments	/wiki/Sericulture
3500 BC: Probable first domestication of the horse in the Eurasian Steppes.	Domestication of the horse	
3500 BC: Wine as general anaesthesia in Sumer.	/wiki/General_anaesthesia	
"3500 BC: Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier."	Seal (emblem)	
"3500 BC: Ploughing, on a site in Bubeneč, Czech Republic. Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India)."	Ploughing	
3400 BC – 3100 BC: Tattoos in southern Europe	Tattoo	
3050 BC - 3000 BC: Writing – in Sumer and Egypt	Writing	
"3300 BC: The first documented swords. They have been found in Arslantepe, Turkey, are made from arsenical bronze, and are about 60&#160;cm (24&#160;in) long. Some of them are inlaid with silver."	Sword	
"3300 BC: City in Uruk, Sumer, Mesopotamia (modern-day Iraq)."	City	
"3250 BC: One of the earliest documented hats was worn by a man (nicknamed Ötzi) whose body and hat  found frozen in a mountain between Austria and Italy. He was found wearing a bearskin cap with a chin strap, made of several hides stitched together, resembling a Russian fur hat without the flaps."	Hats	/wiki/Hat
"3200 BC: Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains."	Latrine	
"3000 BC: Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet. Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from between 2800 and 2500 BC. Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan)."	Dice	
3000 BC: Tin extraction in Central Asia	Tin extraction	/wiki/Tin
3000 BC – 2560 BC: Papyrus in Egypt	Papyrus	
"3000 BC: Reservoir in Girnar, Indus Valley (modern-day India)."	Reservoir	
3000 BC: Receipt in Ancient Mesopotamia (Iraq)	Receipt	
"3000 BC – 2800 BC: Prosthesis first documented in the Ancient Near East, in ancient Egypt and Iran, specifically for an eye prosthetics, the eye found in Iran was likely made of bitumen paste that was covered with a thin layer of gold."	Prosthesis	
3000 BC – 2500 BC: Rhinoplasty in Egypt.	Rhinoplasty	
"2650 BC: The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq). "	Ruler	
"2600 BC: Planned city in Indus Valley (modern-day: India, Pakistan)."	Planned city	
"2600 BC: Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi (modern-day: India, Pakistan)."	Public sewage and sanitation systems	/wiki/Sanitation_of_the_Indus_Valley_Civilisation
"2600 BC: Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan)."	Public bath	"/wiki/Great_Bath,_Mohenjo-daro"
2600 BC: Levee in Indus Valley.	Levee	
"2600 BC: Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed."	Balance weights	
"2556 BC: Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu."	Dock (maritime)	
2500 BC: Puppetry in the Indus Valley.	Puppetry	
2400 BC: Fork in Bronze Age Qijia culture in China	Fork	
"2400 BC: Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes."	Copper pipes	/wiki/History_of_water_supply_and_sanitation#Ancient_Egypt
2400 BC: Touchstone in the Indus Valley site of Banawali (modern-day India).	Touchstone	/wiki/Touchstone_(assaying_tool)
2300 BC: Dictionary in Mesopotamia.	Dictionary	
2200 BC – 2000 BC: Iron smelting in Kaman-Kalehöyük.	Iron smelting	
"2200 BC: Protractor, Phase IV, Lothal, Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool."	Protractor	
"2000 BC: Water clock by at least the old Babylonian period (c. 2000 – c. 1600 BC), but possibly earlier from Mohenjo-Daro in the Indus Valley."	Water clock	
2000 BC: Chariot in Russia and Kazakhstan	Chariot	
"2000 BC: Fountain in Lagash, Sumer."	Fountain	
"2000 BC: Scissors, in Mesopotamia."	Scissors	
1850 BC: Proto-alphabet (Proto-Sinaitic script) in Egypt.	Proto-alphabet	/wiki/Proto-Sinaitic_script
1600 BC: Surgical treatise appeared in Egypt.	Surgical treatise	/wiki/Edwin_Smith_Papyrus
1500 BC: Sundial in Ancient Egypt or Babylonia (modern-day Iraq).	Sundial	
1500 BC: Glass manufacture in either Mesopotamia or Ancient Egypt.	Glass	
1500 BC: Seed drill in Babylonia.	Seed drill	
1500 BC: Prosthetic limb in India mentioned in vedas (warrior queen vishpala).	Prosthetic limb	/wiki/Prosthetic
"1400 BC: Rubber, Mesoamerican ballgame."	Rubber	/wiki/Mesoamerican_rubber_balls
"1400 BC – 1200 BC: Concrete in Tiryns (Mycenaean Greece), though it was not yet waterproof."	Concrete	
1300 BC: Lathe in Ancient Egypt.	Lathe	
1200 BC: Distillation is described on Akkadian tablets documenting perfumery operations.	Distillation	
"1100 BC: Star catalogue — Three Stars Each is the earliest known catalogue in long-running tradition of Babylonian astronomy, likely drawing on Sumerian and/or Elamite constellations."	Star catalogue	
700 BC: Saddle (fringed cloths or pads used by Assyrian cavalry).	Saddle	
"7th century BC: The royal Library of Ashurbanipal at Nineveh had 30,000 clay tablets, in several languages, organized according to shape and separated by content. The first recorded example of a library catalog."	Library catalog	/wiki/Library_of_Ashurbanipal
"688 BC: Waterproof concrete in use, by the Assyrians. Later, the Romans developed concretes that could *set* underwater, and used concrete extensively for construction from 300 BC to 476 AD."	Waterproof concrete	/wiki/Concrete
650 BC: Crossbow in China.	Crossbow	
650 BC: Windmills in Persia.	Windmill	
600 BC: Coins in Phoenicia (Modern Lebanon) or Lydia.	Coins	
600 BC: Wagonway called Diolkos across the Isthmus of Corinth in Ancient Greece.	Wagonway	
"6th century BC: University in Taxila, of the Indus Valley, then part of the kingdom of Gandhara, of the Achaemenid Empire (modern-day Pakistan)."	University	
500 BC: Lighthouse in Greece.	Lighthouse	
"500 BC: Crank motion (a rotary quern) in Carthage or 5th century BC Celtiberian Spain. Later during the Roman empire, a mechanism appeared that incorporated a connecting rod."	Crank	/wiki/Crank_(mechanism)
500 BC: Loan deeds in Upanishadic India.	Deed	/wiki/Deed
"500 – 200 BC: Toe stirrup, depicted in 2nd century Buddhist art, of the Sanchi and Bhaja Caves, of the Deccan Satavahana empire (modern-day India) although may have originated as early as 500 BC."	Toe stirrup	/wiki/Stirrup#Precursors
"485 BC: Catapult by Ajatashatru in Magadha, India."	Catapult	
"485 BC: Scythed chariot by Ajatashatru in Magadha, India."	Scythed chariot	
"5th century BC: Cast iron in Ancient China: Confirmed by archaeological evidence, the earliest cast iron is developed in China by the early 5th century BC during the Zhou dynasty (1122–256 BC), the oldest specimens found in a tomb of Luhe County in Jiangsu province."	Cast iron	
"480 BC: Spiral stairs (Temple A) in Selinunte, Sicily "	Spiral stairs	
407 BC: Early descriptions of what may be a Wheelbarrow in Greece. First actual depiction of one (tomb mural) shows up in China in 118 AD.	Wheelbarrow	
400 BC: Camera obscura described by Mo-tzu (or Mozi) in China.	Camera obscura	
4th century BC: Traction trebuchet in Ancient China.	Traction trebuchet	
4th century BC: Gears in Ancient China	Gears	
"4th century BC: Reed pens, utilising a split nib, were used to write with ink on Papyrus in Egypt."	Reed pens	
"4th century BC: Nailed Horseshoe, with 4 bronze shoes found in an Etruscan tomb."	Nailed horseshoe	
375 BC – 350 BC: Animal-driven rotary mill in Carthage.	Rotary mill	
400 - 350 BC: Corporations in either the Maurya Empire of India or in Ancient Rome (Collegium).	Corporations	
400 - 350 BC: Cheque in the Maurya Empire of India	Cheque	
400 - 350 BC: Potassium nitrate manufacturing and military use in the Seleucid Empire.	Potassium nitrate manufacturing	
"400 - 350 BC: Formal systems by Pāṇini in India, possibly during the reign of Chandragupta Maurya."	Formal systems	
"400 - 200 BC: Zinc production in North-Western India during the Maurya Empire. The earliest known zinc mines and smelting sites are from Zawar, near Udaipur, in Rajasthan."	Zinc production	
"3rd century BC: Analog computers in the Hellenistic world (see e.g. the Antikythera mechanism), possibly in Rhodes."	Analog computer	
"3rd century BC: Cam during the Hellenistic period, used in water-driven automata."	Cam	
3rd century BC: Gimbal described by Philo of Byzantium	Gimbal	
"300 - 100 BC: Blast furnace in Ancient China: The earliest discovered blast furnaces in China date to the 3rd and 2nd centuries BC, although most sites are from the later Han dynasty."	Blast furnace	
2nd century BC: Paper in Han dynasty China	Paper	
206 BC: Compass in Han dynasty China	Compass	
"1st century BC: Segmental arch bridge (e.g. Pont-Saint-Martin or Ponte San Lorenzo) in Italy, Roman Republic"	Segmental arch bridge	
"1st century BC: News bulletin during the reign of Julius Caesar. A paper form, i.e. the earliest newspaper, later appeared during the late Han dynasty in the form of the Dibao."	News bulletin	
"1st century BC: Arch dam (Glanum Dam) in Gallia Narbonensis, Roman Republic "	Arch dam	
"38 BC: An empty shell Glyph for zero, is found on a Maya numerals Stela, from Chiapa de Corzo, Chiapas. Independently invented by Claudius Ptolemy, in the second century CE Egypt, and appearing in the calculations of the Almagest."	Zero	
37 BC – 14 BC: Glass blowing developed in Jerusalem.	Glass blowing	
25 BC: Noodle in Lajia in China	Noodle	
"1st century AD: The aeolipile, a simple steam turbine is recorded by Hero of Alexandria."	aeolipile	
1st century AD: The first use of respiratory protective equipment is documented by Pliny the Elder (c.&#8201;23 AD–79) using animal bladder skins to protect workers in Roman mines from red lead oxide dust.	Respiratory protective equipment	
1st century AD: Oldest surviving wine.	Wine	
1st century AD: Vending machines invented by Hero of Alexandria.	Vending machines	
"132: Seismometer and pendulum in Han dynasty China, built by Zhang Heng. It is a large metal urn-shaped instrument which employed either a suspended pendulum or inverted pendulum acting on inertia, like the ground tremors from earthquakes, to dislodge a metal ball by a lever trip device."	Seismometer	
2nd century: Carding in India.	Carding	
"280 – 550: Chaturanga, a precursor of Chess was invented in India during the Gupta Empire."	Chaturanga	
"4th century: Roman Dichroic glass, which displays one of two different colors depending on lighting conditions."	Dichroic glass	
"4th century: Simple suspension bridge, independently invented in Pre-Columbian South America,  and the Hindu Kush range, of present-day Afghanistan and Pakistan. With Han dynasty travelers noting bridges being constructed from 3 or more vines or 3 ropes. Later bridges constructed utilizing cables of iron chains appeared in Tibet."	Simple suspension bridge	
"4th century: Fishing reel in Ancient China: In literary records, the earliest evidence of the fishing reel comes from a 4th-century AD work entitled Lives of Famous Immortals."	Fishing reel	
347: Oil Wells and Borehole drilling in China. Such wells could reach depths of up to 240&#160;m (790&#160;ft).	Oil wells	
"5th century: The horse collar as a fully developed collar harness is developed in Northern and Southern dynasties China during the 5th century AD. The earliest depiction of it is a Dunhuang cave mural from the Chinese Northern Wei dynasty, the painting dated to 477–499."	Horse harness	
"400 - 600: Pointed arch bridge (Karamagara Bridge) in Cappadocia, Eastern Roman Empire"	Pointed arch bridge	
"563: Pendentive dome (Hagia Sophia) in Constantinople, Eastern Roman Empire"	Pendentive dome	
577: Sulfur matches exist in China.	Sulfur matches	
"589: Toilet paper in Sui dynasty China, first mentioned by the official Yan Zhitui (531–591), with full evidence of continual use in subsequent dynasties."	Toilet paper	
619: Toothbrush in China during the Tang dynasty	Toothbrush	
"672: Greek fire in Constantinople, Byzantine Empire: Greek fire, an incendiary weapon likely based on petroleum or naphtha, is invented by Kallinikos, a Lebanese Greek refugee from Baalbek, as described by Theophanes. However, the historicity and exact chronology of this account is dubious, and it could be that Kallinikos merely introduced an improved version of an established weapon."	Freek fire	
"7th century: Banknote in Tang dynasty China: The banknote is first developed in China during the Tang and Song dynasties, starting in the 7th century. Its roots are in merchant receipts of deposit during the Tang dynasty (618–907), as merchants and wholesalers desire to avoid the heavy bulk of copper coinage in large commercial transactions."	Banknote	
"7th century: Porcelain in Tang dynasty China: True porcelain is manufactured in northern China from roughly the beginning of the Tang dynasty in the 7th century, while true porcelain was not manufactured in southern China until about 300 years later, during the early 10th century."	Porcelain	
"9th century: Gunpowder in Tang dynasty China: Gunpowder is, according to prevailing academic consensus, discovered in the 9th century by Chinese alchemists searching for an elixir of immortality. Evidence of gunpowder's first use in China comes from the Five Dynasties and Ten Kingdoms period (618–907). The earliest known recorded recipes for gunpowder are written by Zeng Gongliang, Ding Du, and Yang Weide in the Wujing Zongyao, a military manuscript compiled in 1044 during the Song dynasty (960–1279)."	Gunpowder	
9th century: Playing card in Tang dynasty China	Playing cards	
"10th century: Fire lance in Song dynasty China, developed in the 10th century with a tube of first bamboo and later on metal that shot a weak gunpowder blast of flame and shrapnel, its earliest depiction is a painting found at Dunhuang. Fire lance is the earliest firearm in the world and one of the earliest gunpowder weapons."	Fire lance	
"10th century: Fireworks in Song dynasty China: Fireworks first appear in China during the Song dynasty (960–1279), in the early age of gunpowder. Fireworks could be purchased from market vendors; these were made of sticks of bamboo packed with gunpowder."	Fireworks	
974: Fountain pen: invented at the request of al-Mu'izz li-Din Allah in Arab Egypt.	Fountain pen	
"11th century: Calico was developed in Calicut, India."	Calico	
"1088: Movable type in Song dynasty China: The first record of a movable type system is in the Dream Pool Essays, which attributes the invention of the movable type to Bi Sheng."	Movable type	
13th century: Rocket for military and recreational uses date back to at least 13th-century China.	Rocket	
"13th century: The earliest form of mechanical escapement, the verge escapement in Europe."	Mechanical escapement	
13th century: Buttons (combined with buttonholes) as a functional fastening for closing clothes appear first in Germany.	Buttons	
"13th century: Explosive bomb in Jin dynasty Manchuria: Explosive bombs are used in 1221 by the Jin dynasty against a Song dynasty city. The first accounts of bombs made of cast iron shells packed with explosive gunpowder are documented in the 13th century in China and are called ""thunder-crash bombs"", coined during a Jin dynasty naval battle in 1231."	Bombs	
"13th century: Hand cannon in Yuan dynasty China: The earliest hand cannon dates to the 13th century based on archaeological evidence from a Heilongjiang excavation. There is also written evidence in the Yuanshi (1370) on Li Tang, an ethnic Jurchen commander under the Yuan dynasty who in 1288 suppresses the rebellion of the Christian prince Nayan with his ""gun-soldiers"" or chongzu, this being the earliest known event where this phrase is used."	Hand cannon	
"13th century: Earliest documented snow goggles, a type of sunglasses, made of flattened walrus or caribou ivory are used by the Inuit peoples in the arctic regions of North America. In China, the first sunglasses consisting of flat panes of smoky quartz are documented."	Snow goggles	
1200 - 1400: Worm gear cotton gin in India.	Cotton gin	
"1277: Land mine in Song dynasty China: Textual evidence suggests that the first use of a land mine in history is by a Song dynasty brigadier general known as Lou Qianxia, who uses an 'enormous bomb' (huo pao) to kill Mongol soldiers invading Guangxi in 1277."	Land mine	
1286: Eyeglasses in Italy	Eyeglasses	
14th century: Painting Canvas was first used in Italy.	Painting canvas	
14th century: Jacob's staff described by Levi ben Gerson	Jacob’s staff	
"14th century: Naval mine in Ming dynasty China: Mentioned in the Huolongjing military manuscript written by Jiao Yu (fl. 14th to early 15th century) and Liu Bowen (1311–1375), describing naval mines used at sea or on rivers and lakes, made of wrought iron and enclosed in an ox bladder. A later model is documented in Song Yingxing's encyclopedia written in 1637."	Naval mine	
14th century: Bidriware in the Bahmani Sultanate in India.	Bidriware	
15th century: Mainspring in Europe	Mainspring	
15th century: Rifle in Europe	Rifle	
"1410 - 1420: Brace in Flanders, Holy Roman Empire"	Brace	
"1439: Printing press in Mainz, Germany: The printing press is invented in the Holy Roman Empire by Johannes Gutenberg before 1440, based on existing screw presses. The first confirmed record of a press appeared in a 1439 lawsuit against Gutenberg."	Printing press	
1470 - 1480: Mariner's astrolabe in Portuguese circumnavigation of Africa	Mariner’s astrolabe	
"16th century: Chintz or printed clothing in Golconda, India"	Printed clothing	
"16th century:  Hookah by Irfan Shaikh, at the court of the Mughal emperor Akbar I (1542–1605)."	Hookah	
"1560: Floating Dry Dock in Venice, Venetian Republic"	Dry dock	
1569: Mercator Projection map created by Gerardus Mercator	Mercator projection map	
1589: Stocking frame: Invented by William Lee.	Stocking frame	
1594: Backstaff: Invented by Captain John Davis.	Backstaff	
1605: Newspaper (Relation): Johann Carolus in Strassburg 	Newspaper	
1608: Telescope: Patent applied for by Hans Lippershey. Actual inventor unknown since it seemed to already be a common item being offered by the spectacle makers in the Netherlands with Jacob Metius also applying for patent and the son of Zacharias Janssen making a claim 47 years later that his father invented it.	Telescope	
"1620: Compound microscopes, which combine an objective lens with an eyepiece to view a real image, first appear in Europe. Apparently derived from the telescope, actual inventor unknown, variously attributed to Zacharias Janssen (his son claiming it was invented in 1590), Cornelis Drebbel, and Galileo Galilei."	Microscope	
1630: Slide rule: invented by William Oughtred	Slide rule	
1642: Mechanical calculator. The Pascaline is built by Blaise Pascal.	Mechanical calculator	
"1643: Barometer: invented by Evangelista Torricelli, or possibly up to three years earlier by Gasparo Berti."	Barometer	
1650: Vacuum pump: Invented by Otto von Guericke.	Vacuum pump	
1656: Pendulum clock: Invented by Christiaan Huygens. It was first conceptualized in 1637 by Galileo Galilei but he was unable to create a working model.	Pendulum clock	
1663: Friction machine: Invented by Otto von Guericke.	Friction machine	
1668: First functional reflecting telescope constructed by Isaac Newton.	Reflecting telescope	
1679: Pressure-cooker: Invented by Denis Papin.	Pressure-cooker	
1680: Christiaan Huygens provides the first known description of a piston engine.	Piston engine	/wiki/Gunpowder_engine
1709: Bartolomeo Cristofori crafts the first piano.	Piano	/wiki/Piano
1709: Daniel Gabriel Fahrenheit invents the alcohol thermometer.	Alcohol thermometer	/wiki/Thermometer
